Commodity,Demand
All Flower,1.75
Amaranthus,0.68
Amla,-0.45
Amphophalus,0.247
Apple,0.56
Arecanut(Betelnut/Supari),-5.4
Ashgourd,-0.89
Avare Dal,-1.69
Bajra(Pearl Millet),2.8
Banana,-0.06
Banana - Green,0.05
Barley (Jau),1.7
Beans,4
Beaten Rice,-0.025
Beetroot,0
Ber (Zizyphus),0.074
Betal Leaves,2
Bhindi(Ladies Finger),2.4
Bitter gourd,1.29
Black Grams (Urd Beans),-3.2
Bottle gourd,-1.47
Brinjal,1.1
Cabbage,0.75
Capsicum,0
Carrot,0.026
Cashewnuts,0.8
Castor Seed,0.01
Cauliflower,0.0047
Chapparad Avare,1
Chennangidal,6
Chilly Capsicum,4
Chow Chow,0.3
Cluster beans,0.48
Coconut Oil,0.02
Coconut Seed,0.3
Coffee,0.7
Colacasia,0.469
Copra,0.5
Coriander,1.9
Cotton,0.9
Cowpea(Veg),0.01
Cucumbar,3.06
Cucumber (Long Melon),2.8
Drumstick,3
Dry Grapes,2.6
Elephant Yam (Suran),1.5
Field Pea,0.68
French Beans (Frasbean),2.7
"Gingelly (Sesamum, Sesame, Til)",0.97
Gladiolus Cut Flower,1.76
Gram Raw(Chholia),0.3
Grapes,3.8
Green Avare (W),4.8
Green Chilly,1.2
Green ginger,-1.1
Green Grams (Moong),2
Green Peas,2.1
Ground Nut Seed,-0.89
Groundnut,1.1
Groundnut (Split),1.2
Groundnut pods (raw),1
Guar,1.06
Guava,3.7
Hippe Seed,4.8
Honge seed,2.3
Hybrid Cumbu,-1.1
Indian Beans (Seam),4.2
Indian Colza(Sarson),3.1
Jack Fruit,1.4
Jamamkhan,0.25
Jarbara,1.26
Jasmine,1.1
Jowar(Sorgham),1.2
Jute,-0.097
Kakada,0.8
Karamani,1
Karbuja,1
Kinnow,1.3
Knool Khol,1.4
Kolathur,-1.6
Lak,1.3
Leafy Vegetable,0.74
Lemon,1.1
Lilly,1
Lime,1.1
Linseed,6.7
Little gourd (Kundru),3.8
Maize,2
Mango,7
Mango (Raw-Ripe),6
Marygold(Calcutta),2
Mashrooms,1.7
Mataki,4
Methi,2
Mint(Pudina),-2.3
Mousambi,3.7
Mustard,1
Mustard Oil,1.45
Navane,0.98
Niger Seed (Ramtil),2.3
Onion,1.4
Onion Green,1.5
Orange,8
Orchid,4
Other Fruits,2
Other Pulses,1.5
Other Vegetable,1.3
Paddy(Dhan),1.6
Papaya,2
Papaya (Raw),3
Pears,-2.5
Peas cod,2.7
Peas Wet,1.6
Pegeon Pea (Arhar Fali),2.4
Pine Apple,1
Plum,1.7
Pointed gourd (Parval),5.6
Potato,4.2
Pumpkin,3
Raddish,-3.7
Ragi (Finger Millet),1.5
Rat Tail Radish (Mogari),1.36
Rice,-1.2
Ridgeguard(Tori),1.3
Rose(Local),2
Rose(Loose),-2.1
Rose(Tata),2.2
Round gourd,1.7
Rubber,2
Safflower,3
Sajje,-1.78
Same/Savi,1.1
Season Leaves,1.3
Seemebadnekai,2.5
Seetapal,3
"Sesamum(Sesame,Gingelly,Til)",2
Snakeguard,-2.9
Soapnut,2.1
Soji,3.46
Soyabean,3
Spinach,1.85
Squash(Chappal Kadoo),2.4
Sugarcane,4.2
Sunflower,2
Surat Beans (Papadi),1.69
Suva (Dill Seed),3
Sweet Lime,1.4
Sweet Potato,-2.3
Sweet Pumpkin,2.7
T.V. Cumbu,3
Tamarind Fruit,1.26
Tamarind Seed,1.26
Tapioca,-4
Tea,-3
Tender Coconut,-0.2
Thinai (Italian Millet),-0.47
Thogrikai,1.4
Thondekai,2.1
Tinda,-1.87
Tomato,1.6
Toria,1.5
Tube Flower,1.1
Turmeric (raw),-2.1
Turnip,-1.8
Water Melon,1.24
Wheat,2.9
Wood,1.3
Yam (Ratalu),-1.9
