Market Center,Commodity,State,Year,Month,Arrivals,Unit of Arrivals,Origin,Variety,Minimum Price,Maximum Price,Modal Price,Unit of Price
Alur,Bajra(Pearl Millet),Andhra Pradesh,2011,February,1,Tonnes,NR,Local,820,850,830,Rs/Quintal
Kanigiri,Bajra(Pearl Millet),Andhra Pradesh,2011,February,1,Tonnes,NR,Bold,840,890,870,Rs/Quintal
Narasaraopet,Bajra(Pearl Millet),Andhra Pradesh,2011,February,1,Tonnes,NR,Local,1000,1200,1100,Rs/Quintal
Manendragarh,Bajra(Pearl Millet),Chattisgarh,2011,February,0.8,Tonnes,NR,Deshi,1500,1500,1500,Rs/Quintal
Amreli,Bajra(Pearl Millet),Gujarat,2011,February,0.5,Tonnes,NR,Deshi,1235,1235,1235,Rs/Quintal
Bhavnagar,Bajra(Pearl Millet),Gujarat,2011,February,6.3,Tonnes,NR,Local,755,820,785,Rs/Quintal
Chotila,Bajra(Pearl Millet),Gujarat,2011,February,0.1,Tonnes,NR,Hybrid,650,1100,875,Rs/Quintal
Deesa,Bajra(Pearl Millet),Gujarat,2011,February,14,Tonnes,NR,Other,1041,1150,1090,Rs/Quintal
Deesa(Bhildi),Bajra(Pearl Millet),Gujarat,2011,February,40,Tonnes,NR,Other,1045,1125,1125,Rs/Quintal
Dehgam,Bajra(Pearl Millet),Gujarat,2011,February,22,Tonnes,NR,Other,1050,1075,1062,Rs/Quintal
Dhanera,Bajra(Pearl Millet),Gujarat,2011,February,5.9,Tonnes,NR,Other,930,1175,1052,Rs/Quintal
Dhrol,Bajra(Pearl Millet),Gujarat,2011,February,0.1,Tonnes,NR,Other,780,1120,950,Rs/Quintal
Gondal,Bajra(Pearl Millet),Gujarat,2011,February,1.7,Tonnes,NR,Hybrid,695,1005,855,Rs/Quintal
Himatnagar,Bajra(Pearl Millet),Gujarat,2011,February,0.3,Tonnes,NR,Hybrid,1000,1060,1030,Rs/Quintal
Jamnagar,Bajra(Pearl Millet),Gujarat,2011,February,10,Tonnes,NR,Other,875,1080,978,Rs/Quintal
Jasdan,Bajra(Pearl Millet),Gujarat,2011,February,0.2,Tonnes,NR,Other,640,640,640,Rs/Quintal
Jhagadiya,Bajra(Pearl Millet),Gujarat,2011,February,0.3,Tonnes,NR,Other,1000,1100,1050,Rs/Quintal
Kodinar,Bajra(Pearl Millet),Gujarat,2011,February,12,Tonnes,NR,Hybrid,950,1180,1075,Rs/Quintal
Mahuva,Bajra(Pearl Millet),Gujarat,2011,February,33,Tonnes,NR,Hybrid,815,1240,1030,Rs/Quintal
Mangrol,Bajra(Pearl Millet),Gujarat,2011,February,10,Tonnes,NR,Hybrid,1050,1100,1080,Rs/Quintal
Mehmadabad,Bajra(Pearl Millet),Gujarat,2011,February,NR,Tonnes,NR,Other,900,1000,980,Rs/Quintal
Mehsana,Bajra(Pearl Millet),Gujarat,2011,February,5,Tonnes,NR,Other,760,1145,1050,Rs/Quintal
Modasa,Bajra(Pearl Millet),Gujarat,2011,February,1.5,Tonnes,NR,Other,1000,1125,1050,Rs/Quintal
Palitana,Bajra(Pearl Millet),Gujarat,2011,February,17,Tonnes,NR,Other,625,1125,875,Rs/Quintal
Patan,Bajra(Pearl Millet),Gujarat,2011,February,9.8,Tonnes,NR,Other,700,1150,975,Rs/Quintal
Rajkot,Bajra(Pearl Millet),Gujarat,2011,February,45,Tonnes,NR,Local,700,1190,950,Rs/Quintal
Rajula,Bajra(Pearl Millet),Gujarat,2011,February,2,Tonnes,NR,Other,725,1130,928,Rs/Quintal
Savarkundla,Bajra(Pearl Millet),Gujarat,2011,February,3,Tonnes,NR,Other,750,1125,940,Rs/Quintal
Siddhpur,Bajra(Pearl Millet),Gujarat,2011,February,4.7,Tonnes,NR,Other,800,1175,985,Rs/Quintal
Taleja,Bajra(Pearl Millet),Gujarat,2011,February,0.72,Tonnes,NR,Local,650,775,710,Rs/Quintal
Talod,Bajra(Pearl Millet),Gujarat,2011,February,70,Tonnes,NR,Other,750,1105,928,Rs/Quintal
Tharad,Bajra(Pearl Millet),Gujarat,2011,February,0.3,Tonnes,NR,Other,1175,1200,1200,Rs/Quintal
Tharad(Rah),Bajra(Pearl Millet),Gujarat,2011,February,NR,Tonnes,NR,Other,1075,1230,1190,Rs/Quintal
Thasara,Bajra(Pearl Millet),Gujarat,2011,February,NR,Tonnes,NR,Deshi,800,1000,900,Rs/Quintal
Umreth,Bajra(Pearl Millet),Gujarat,2011,February,NR,Tonnes,NR,MH-179,925,955,955,Rs/Quintal
Upleta,Bajra(Pearl Millet),Gujarat,2011,February,3,Tonnes,NR,Hybrid,750,825,800,Rs/Quintal
Vadgam,Bajra(Pearl Millet),Gujarat,2011,February,0.9,Tonnes,NR,Other,1000,1035,1017.5,Rs/Quintal
Visnagar,Bajra(Pearl Millet),Gujarat,2011,February,5,Tonnes,NR,Other,800,1230,1015,Rs/Quintal
Loharu,Bajra(Pearl Millet),Haryana,2011,February,5.4,Tonnes,NR,Other,795,800,800,Rs/Quintal
Narnaul,Bajra(Pearl Millet),Haryana,2011,February,1.8,Tonnes,NR,Other,771,771,771,Rs/Quintal
Rewari,Bajra(Pearl Millet),Haryana,2011,February,9.4,Tonnes,NR,Other,762,809,800,Rs/Quintal
Sohna,Bajra(Pearl Millet),Haryana,2011,February,0.5,Tonnes,NR,Other,740,740,740,Rs/Quintal
Badami,Bajra(Pearl Millet),Karnataka,2011,February,NR,Tonnes,NR,Hybrid,800,900,850,Rs/Quintal
Bagalakot,Bajra(Pearl Millet),Karnataka,2011,February,NR,Tonnes,NR,Hybrid,821,821,821,Rs/Quintal
Basava Kalayana,Bajra(Pearl Millet),Karnataka,2011,February,1,Tonnes,NR,Local,850,950,900,Rs/Quintal
Bellary,Bajra(Pearl Millet),Karnataka,2011,February,1,Tonnes,NR,Hybrid,920,1120,920,Rs/Quintal
Gulbarga,Bajra(Pearl Millet),Karnataka,2011,February,8,Tonnes,NR,Local,800,900,850,Rs/Quintal
Koppal,Bajra(Pearl Millet),Karnataka,2011,February,2,Tonnes,NR,Hybrid,853,867,863,Rs/Quintal
Kottur,Bajra(Pearl Millet),Karnataka,2011,February,7,Tonnes,NR,Hybrid,906,906,906,Rs/Quintal
