Market Center,State,Commodity,Year,Month,Arrivals,Unit of Arrivals,Origin,Variety,Minimum Price,Maximum Price,Modal Price,Unit of Price
Kanigiri,Andhra Pradesh,Bajra(Pearl Millet),2012,February,0.1,Tonnes,NR,Bold,960,980,970,Rs/Quintal
Markapur,Andhra Pradesh,Bajra(Pearl Millet),2012,February,0.1,Tonnes,NR,Bold,980,1000,990,Rs/Quintal
Narasaraopet,Andhra Pradesh,Bajra(Pearl Millet),2012,February,0.1,Tonnes,NR,Local,1100,1300,1200,Rs/Quintal
Podili,Andhra Pradesh,Bajra(Pearl Millet),2012,February,0.1,Tonnes,NR,Bold,960,980,970,Rs/Quintal
Mehmadabad,Gujarat,Bajra(Pearl Millet),2012,February,NR,Tonnes,NR,Other,950,1000,975,Rs/Quintal
Vadodara,Gujarat,Bajra(Pearl Millet),2012,February,10.75,Tonnes,NR,Deshi,1181,1200,1200,Rs/Quintal
Behal,Haryana,Bajra(Pearl Millet),2012,February,1,Tonnes,NR,Other,860,860,860,Rs/Quintal
Ding,Haryana,Bajra(Pearl Millet),2012,February,0.3,Tonnes,NR,Other,900,900,900,Rs/Quintal
Pataudi,Haryana,Bajra(Pearl Millet),2012,February,19.5,Tonnes,NR,Other,900,900,900,Rs/Quintal
Rewari,Haryana,Bajra(Pearl Millet),2012,February,83.2,Tonnes,NR,Other,936,944,940,Rs/Quintal
Siwani,Haryana,Bajra(Pearl Millet),2012,February,50,Tonnes,NR,Other,910,910,NR,Rs/Quintal
Jora,Madhya Pradesh,Bajra(Pearl Millet),2012,February,6,Tonnes,NR,Deshi,900,905,900,Rs/Quintal
Morena,Madhya Pradesh,Bajra(Pearl Millet),2012,February,40.5,Tonnes,NR,Deshi,924,940,933,Rs/Quintal
Pune,Maharashtra,Bajra(Pearl Millet),2012,February,34.3,Tonnes,NR,Other,1350,1700,1525,Rs/Quintal
Najafgarh,NCT of Delhi,Bajra(Pearl Millet),2012,February,3.5,Tonnes,NR,Bold,960,988,988,Rs/Quintal
Narela,NCT of Delhi,Bajra(Pearl Millet),2012,February,0.5,Tonnes,NR,Deshi,1000,1000,1000,Rs/Quintal
Ajmer (Grain),Rajasthan,Bajra(Pearl Millet),2012,February,4.3,Tonnes,NR,Other,911,945,930,Rs/Quintal
Alwar,Rajasthan,Bajra(Pearl Millet),2012,February,61,Tonnes,NR,Other,850,920,905,Rs/Quintal
Bandikui,Rajasthan,Bajra(Pearl Millet),2012,February,76.4,Tonnes,NR,Other,904,1001,NR,Rs/Quintal
Chomu,Rajasthan,Bajra(Pearl Millet),2012,February,79.5,Tonnes,NR,Other,920,950,935,Rs/Quintal
Deedwana,Rajasthan,Bajra(Pearl Millet),2012,February,12.5,Tonnes,NR,Other,800,900,890,Rs/Quintal
Deedwana(Choti Khatu),Rajasthan,Bajra(Pearl Millet),2012,February,15,Tonnes,NR,Other,800,900,890,Rs/Quintal
Deeg,Rajasthan,Bajra(Pearl Millet),2012,February,0.6,Tonnes,NR,Other,885,899,885,Rs/Quintal
Degana,Rajasthan,Bajra(Pearl Millet),2012,February,16,Tonnes,NR,Other,800,900,850,Rs/Quintal
Jhunjhunu,Rajasthan,Bajra(Pearl Millet),2012,February,NR,Tonnes,NR,Other,925,925,925,Rs/Quintal
Jodhpur (Grain)(Mandor),Rajasthan,Bajra(Pearl Millet),2012,February,8.8,Tonnes,NR,Other,850,1050,925,Rs/Quintal
Kama,Rajasthan,Bajra(Pearl Millet),2012,February,0.5,Tonnes,NR,Other,917,917,917,Rs/Quintal
Khairthal,Rajasthan,Bajra(Pearl Millet),2012,February,682,Tonnes,NR,Other,940,980,960,Rs/Quintal
Kherli,Rajasthan,Bajra(Pearl Millet),2012,February,15,Tonnes,NR,Other,916,1035,970,Rs/Quintal
