Market Center,Modal Price,Commodity,State
Achanta,1362.5,Paddy(Dhan),Andhra Pradesh
Addanki,4312.5,Bengal Grams(Gram),Andhra Pradesh
Addanki,4562.5,Black Grams (Urd Beans),Andhra Pradesh
Addanki,4687.5,Green Grams (Moong),Andhra Pradesh
Addanki,1725,Paddy(Dhan),Andhra Pradesh
Addanki,4125,Red Grams,Andhra Pradesh
Addanki,3087.5,Rice,Andhra Pradesh
Adoni,4812.5,Cotton,Andhra Pradesh
Adoni,3250,Sunflower Seed,Andhra Pradesh
Akiveedu,3875,Chilli Red,Andhra Pradesh
Akiveedu,1287.5,Paddy(Dhan),Andhra Pradesh
Akiveedu,1400,Paddy(Dhan),Andhra Pradesh
Alamuru,1350,Paddy(Dhan),Andhra Pradesh
Allagadda,4125,Bengal Grams(Gram),Andhra Pradesh
Allagadda,4125,Groundnut,Andhra Pradesh
Allagadda,1375,Paddy(Dhan),Andhra Pradesh
Allagadda,4125,Red Grams,Andhra Pradesh
Allagadda,3125,Rice,Andhra Pradesh
Alur,1037.5,Bajra(Pearl Millet),Andhra Pradesh
Alur,7125,Cotton,Andhra Pradesh
Alur,2437.5,Jowar(Sorgham),Andhra Pradesh
Alur,1111.25,Jowar(Sorgham),Andhra Pradesh
Alur,1075,Maize,Andhra Pradesh
Alur,1125,Maize,Andhra Pradesh
Alur,1875,Onion,Andhra Pradesh
Alur,312.5,Onion,Andhra Pradesh
Amadalavalasa,1375,Paddy(Dhan),Andhra Pradesh
Ambajipeta,3500,Chilli Red,Andhra Pradesh
Ambajipeta,4750,Copra,Andhra Pradesh
Ambajipeta,1387.5,Paddy(Dhan),Andhra Pradesh
Ambajipeta,1350,Paddy(Dhan),Andhra Pradesh
Anantapur,4187.5,Groundnut,Andhra Pradesh
Anaparthy,1350,Paddy(Dhan),Andhra Pradesh
Atmakur,1225,Jowar(Sorgham),Andhra Pradesh
Atmakur,1500,Maize,Andhra Pradesh
Atmakur,1397.5,Paddy(Dhan),Andhra Pradesh
Atmakur,2437.5,Rice,Andhra Pradesh
Atmakur,3500,Sunflower,Andhra Pradesh
Atmakur(SPS),1287.5,Paddy(Dhan),Andhra Pradesh
Attili,1362.5,Paddy(Dhan),Andhra Pradesh
Badvel,1537.5,Paddy(Dhan),Andhra Pradesh
Badvel,1412.5,Paddy(Dhan),Andhra Pradesh
Banaganapalli,3937.5,Bengal Grams(Gram),Andhra Pradesh
Banaganapalli,1562.5,Jowar(Sorgham),Andhra Pradesh
Banaganapalli,1375,Paddy(Dhan),Andhra Pradesh
Bapatla,4625,Black Grams (Urd Beans),Andhra Pradesh
Bapatla,1250,Paddy(Dhan),Andhra Pradesh
Bhimadole,1437.5,Maize,Andhra Pradesh
Bhimadole,1362.5,Maize,Andhra Pradesh
Bhimadole,1312.5,Paddy(Dhan),Andhra Pradesh
Bhimadole,1400,Paddy(Dhan),Andhra Pradesh
Bhimavaram,3500,Chilli Red,Andhra Pradesh
Bhimavaram,1225,Paddy(Dhan),Andhra Pradesh
Bhimavaram,1350,Paddy(Dhan),Andhra Pradesh
