Market Center,Loc
Achampet,"[78.6370, 16.3990]"
Achampet(Amrabad),"[78.6370, 16.39901]"
Achanta,"[81.8116, 16.5984]"
Addanki,"[79.9833, 15.8167]"
Adoni,"[77.28, 15.63]"
Akiveedu,"[81.383, 16.6]"
Alampur,"[78.79, 15.8780]"
Alamuru,"[81.9, 16.7833]"
Alangudi,"[78.89, 10.37]"
Alappuzha,"[76.33, 9.49]"
Aler,"[79.05, 17.65]"
Allagadda,"[78.2824, 15.0735]"
Alur,"[77.2250, 15.3944]]"
Amadalavalasa,"[83.9, 18.4167]"
Amangal,"[78.5333, 16.85]"
Ambajipeta,"[81.9453, 16.5939]"
Ammoor,"[79.3725, 13.0008]"
Anaimalai,"[76.93, 10.58]"
Anantapur,"[86.75, 21.2167]"
Anaparthy,"[81.9562, 16.9338]"
Annigeri,"[75.43, 15.4]"
Annur,"[77.1, 11.23]"
Anthiyur,"[77.6, 11.58]"
Arasikere,"[76.2561,13.3139]"
Armoor,"[78.29, 18.79]"
Aruppukottai,"[78.1, 9.51]"
Arur,"[78.9471852, 11.8865852]"
Asifabad,"[79.28, 19.37]"
Athani,"[75.07,16.73]"
Athirampuzha,"[76.5267, 9.6595]"
Atmakur,"[79.6167, 14.6167]"
Atmakur(SPS),"[79.6167, 14.61671]"
Attili,"[81.6, 16.7]"
Aurad,"[77.43,19.25]"
Avalurpet,"[79.3465, 12.38]"
Badami,"[75.6803,15.92]"
Badepalli,"[77.3708, 16.5728]"
Badvel,"[79.05, 14.75]"
Bagalakot,"[75.6958, 16.1817]"
Banaganapalli,"[78.2333, 15.3167]"
Bangalore,"[77.5667,12.9667]"
Bangarpet,"[78.1333, 13.1333]"
Banswada,"[77.8333, 18.3833]"
Bantwala,"[75.066,12.836]"
Bapatla,"[80.47, 15.8889]"
Bargur,"[80.47, 15.8889]"
Basava Kalayana,"[76.9497, 17.8728]"
Bellary,"[76.9167, 15.15]"
Belur,"[75.8571, 13.1629]"
Bhadravathi,"[75.7020, 13.84]"
Bhimadole,"[81.2617, 16.8144]"
Bhimavaram,"[81.5333, 16.5333]"
Bhimunipatnam,"[83.4333, 17.8833]"
Bhodhan,"[77.9, 18.67]"
Bidar,"[77.5, 17.9]"
Bijapur,"[75.71,16.83]"
"Binny Mill (F&V), Bangalore","[77.579063,12.9804051]"
Bobbili,"[83.3667, 18.5667]"
Bodinayakkanur,"[77.35, 10.02]"
Bowenpally,"[78.4828, 17.4761]"
Burgampadu,"[80.8667, 17.65]"
Canacona,"[74.02, 15.02]"
Chamaraj Nagar,"[76.9417103,11.922483]"
Channagiri,"[75.9234666,14.0267512]"
Channapatana,"[77.2050,12.6530]"
Channarayapatna,"[76.39,12.9]"
Charla,"[80.31292, 15.787746]"
Cherial,"[78.9719, 17.9264]"
Cherthala,"[76.3361, 9.6869]"
Chethupattu,"[79.2475, 12.4644]"
Chevella,"[78.1353, 17.3067]"
Cheyyar,"[79.5424, 12.6580]+D499"
Cheyyar,"[79.5424, 12.6580]"
Chickkaballapura,"[77.72,13.43]"
Chikkamagalore,"[75.77,13.32]"
Chilakaluripet,"[80.1672, 16.0892]"
Chinnamanur,"[77.3800, 9.83]"
Chinnasalem,"[78.8599, 11.6495]"
Chintalapudi,"[80.9833, 17.0667]"
Chintamani,"[78.0588958,13.3861635]"
Chintapally,"[78.8034, 16.8716]"
Chipurupalli,"[83.5667, 18.3]"
Chirala,"[80.35, 15.82]"
Chitradurga,"[76.4,14.2300]"
Chityal,"[79.1333, 17.2333]"
Chodavaram,"[82.95, 17.8333]"
Choppadandi,"[79.1667, 18.5833]"
Coimbatore,"[76.9725, 11.0183]"
Cuddapah,"[78.82, 14.47]"
Cumbum,"[77.3, 9.73]"
Cumbum(AP),"[79.1167, 15.5667]"
Darsi,"[79.6833, 15.7667]"
Davangere,"[75.9242,14.4666]"
Denduluru,"[81.1642, 16.7606]"
Denkanikottai,"[81.1642, 16.7606]"
Desur,"[79.48, 12.43]"
Devarakonda,"[78.9333, 16.7]"
Devarkonda(Dindi),"[78.9333, 16.72]"
Devarkonda(Mallepalli),"[78.9333, 16.71]"
Dharmapuri,"[79.094, 18.9475]"
Dharmaram,"[78.5, 18.0599]"
Dharmavaram,"[77.72, 14.43]"
Dharwar,"[75.08333,15.35]"
Dubbak,"[78.6783, 18.1914]"
Duggirala,"[80.6243, 16.3280]"
Enkoor,"[80.4294, 17.3125]"
Ernakulam,"[76.2800, 9.98]"
Erode,"[77.7333, 11.35]"
Ezhamkulam,"[76.7667, 9.1333]"
Gadag,"[75.6336933,15.428963]"
Gaddiannaram,"[78.5231525, 17.3663765]"
Gadwal,"[77.8, 16.23]"
Gadwal(Lezza),"[77.8, 16.231]"
Gajapathinagaram,"[83.333, 18.3]"
Gangavathi,"[76.53,15.43]"
Gannavaram,"[76.53,15.43]"
Giddalur,"[78.9167, 15.35]"
Gingee,"[79.3, 12.15]"
Gollapally,"[79.0569, 18.7906]"
Gonikappal,"[75.925473,12.1842923]"
Gooti,"[77.6340, 15.120]"
Gopalavaram,"[80.2561, 13.0503]"
Gubbi,"[75.925473,12.1842923]"
Gudiyatham,"[78.8644, 12.9397]"
Gudur,"[79.8477, 14.1473]"
Gulbarga,"[76.8333,17.333]"
Gundlupet,"[76.68, 11.8]"
Guntakal,"[77.38, 15.17]"
H.B. Halli,"[76.20668,15.049521]"
Haliyala,"[74.76512379,15.3292826]"
Hanagal,"[75.1278805,14.7686886]"
Harappana Halli,"[77.6184013,12.7847625]"
Harihara,"[77.29596,12.399345]"
Harippad,"[76.4667, 9.3]"
Hassan,"[76.1039847, 13.0126213]"
Haveri,"[75.4019594, 14.7963967]"
Hindupur,"[77.49, 13.83]"
Hiramandalam,"[83.95, 18.667]"
Hirekerur,"[75.3943553,14.4552728]"
Holenarsipura,"[76.2427568, 12.7858129]"
Honnali,"[75.644657,14.2369386]"
Honnavar,"[74.4508481,14.2873821]"
Hoovinahadagali,"[75.9345602,15.0173651]"
Hosadurga,"[76.29,13.8]"
Hospet,"[76.4,15.2667]"
Hosur,"[77.82, 12.72]"
Hubli (Amaragol),"[75.0850,15.3617]"
Hunsur,"[76.29,12.31]"
Huzurnagar,"[79.8833, 16.9]"
Huzzurabad,"[79.42, 18.2]"
Ibrahimputnam,"[78.6294, 17.1017]"
Ichapuram,"[84.7, 19.12]"
Indravelly(Utnoor),"[78.7667, 19.3667]"
Ipur,"[79.8, 16.2333]"
Irikkur,"[75.57, 11.97]"
Jagalur,"[76.3358868,14.5194059]"
Jaggampet,"[82.05, 17.1833]"
Jaggayyapeta,"[80.0976, 16.8920]"
Jagtial,"[78.93, 18.8]"
Jamakhandi,"[75.2923106,16.5044424]"
Jammalamadugu,"[78.38, 14.85]"
K.R. Pet,"[75.7630062,13.2379089]"
K.R.Nagar,"[76.3804615,12.4372152]"
Kadiri,"[78.17, 14.12]"
Kadur,"[76.01,13.55]"
Kaikaluru,"[81.2, 16.5509]"
Kakinada,"[82.33, 16.93]"
Kalavai,"[79.42, 12.68]"
Kalikiri,"[78.8, 13.6333]"
Kallachi,"[75.6781572, 11.6869097]"
Kallakurichi,"[78.96091, 11.73870]"
Kalyandurg,"[77.1, 14.55]"
Kamalapuram,"[78.66257, 14.60838]"
Kamareddy,"[78.33431, 18.324]"
Kamareddy(Bicknoor),"[78.33431, 18.3241]"
Kamuthi,"[78.37, 9.4197]"
Kanakapura,"[77.4170,12.55]"
Kanchili,"[84.582, 18.981]"
Kandukur,"[78.48869, 17.06367]"
Kanigiri,"[79.5167, 15.4]"
Kanjirappally,"[76.7833, 9.55]"
Karamadai,"[76.9601, 11.2425]"
Karimnagar,"[79.1242, 18.4369]"
Karkala,"[74.9830,13.2]"
Karumanturai,"[78.65689, 11.12712]"
Karwar,"[74.13,14.8]"
Kasargod,"[74.13,14.8]"
Kataram,"[79.9364161, 18.6279561]"
Katpadi,"[79.13, 12.98]"
Katpadi(Uzhavar Santhai),"[79.13, 12.981]"
Kavali,"[79.99298, 14.91318]"
Kaveripakkam,"[79.4639, 12.9017]"
Khammam,"[80.15144, 17.24725]"
Khanapur,"[74.50833, 15.63944]"
Kodumgalloor,"[76.1946, 10.2338]"
Koduru,"[81.0417, 16.0022]"
Koilkunta,"[78.31670, 15.23330]"
Kolar,"[78.1333,13.1333]"
Kolathur,"[77.45, 11.51]"
Kollam,"[76.6, 8.88]"
Kollapur,"[78.3406, 16.1831]"
Kollegal,"[76.9777,12.0628]"
Kondapi,"[79.8566366, 15.4142476]"
Kondotty,"[75.9640, 11.1470]"
Konganapuram,"[77.9735, 11.56047]"
Koppa,"[75.35,13.55]"
Koppal,"[76.15,15.35]"
Koratla,"[78.714, 18.82687]"
Kothabommali,"[84.15143, 18.51841] "
Kothagudem,"[80.63, 17.55]"
Kothapeta,"[81.89578, 16.71601]"
Kothavalasa,"[83.19082, 17.89087]"
Kottayam,"[76.52, 9.58]"
Kottur,"[76.2227074,14.8257986]"
Kovvur,"[81.7333, 17.0167]"
Krishnagiri,"[78.32470, 12.53787]"
Krosuru,"[80.13330, 16.55]"
Kuchinapudi,"[80.74985, 15.96237]"
Kudchi,"[74.85,16.6330]"
Kumta,"[74.4, 14.42]"
Kundapura,"[74.7,13.8]"
Kuppam,"[78.33302, 12.74703]"
Kurupam,"[83.55099, 18.86688]"
Kustagi,"[76.2,15.77]"
Kuthuparambu,"[75.58, 11.83]"
Kuttulam,"[77.45, 11.51]"
Lakkireddipally,"[78.7, 14.1667]"
Laxettipet,"[79.20282, 18.87548]"
Laxmeshwar,"[75.47, 15.13]"
Macharla,"[79.43, 16.48]"
Machilipatnam,"[81.13, 16.17]"
Madanapalli,"[78.5, 13.55]"
Madathukulam,"[77.35, 10.5667]"
Maddipadu,"[80.02301, 15.62221]"
Maddur,"[77.05,12.5849]"
Madhira,"[80.36670, 16.91670]"
Madhugiri,"[77.21,13.66]"
Madikeri,"[75.7397,12.4209]"
Madnoor,"[77.62354, 18.50671]"
Madnoor(Bitchkonda),"[77.62354, 18.506711]"
Madurai,"[78.11978, 9.92520]"
Mailaduthurai,"[79.65, 11.1]"
Malleswaram,"[81.270076, 16.3585198]"
Malur,"[77.9380,13.0210]"
Manachanallur,"[78.7022, 10.9078]"
Manalurpet,"[79.1, 12.01667]"
Manapparai,"[78.42144, 10.60716]"
Mancharial,"[79.4639, 18.8679]"
Mangalagiri,"[80.56871, 16.43491]"
Mangalore,"[74.88,12.87]"
Manthani,"[79.6667, 18.65]"
Mapusa,"[73.82, 15.6]"
Markapur,"[79.26913, 15.73615]"
Martur,"[80.10377, 15.99384]"
Medchal,"[78.48421, 17.63022]"
Melur,"[78.33586, 10.03326]"
Metpally,"[78.62616, 18.84923]"
Miryalaguda,"[79.5833, 16.8667]"
Moodigere,"[75.6417,13.1342]"
Moovattupuzha,"[76.5830, 9.9670]"
Mulabagilu,"[78.4,13.1667]"
Mulakalacheruvu,"[77.3956, 14.13199]"
Mummidivaram,"[82.10430, 16.64150]"
Mundaragi,"[75.9,15.22]"
Mundgod,"[75.03,14.97]"
Mydukur,"[78.78, 14.7]"
Mysore (Bandipalya),"[76.65,12.3]"
Nagalapuram,"[79.79885, 13.38578]"
Nagamangala,"[76.76,12.82]"
Nagapattinam,"[79.83, 10.77]"
Nagaram,"[80.72444, 16.00444]"
Nagarkurnool,"[78.3333, 16.4833]"
Naidupet,"[80.04651, 13.89762]"
Nakrekal,"[79.42714, 17.1649]"
Nalgonda,"[79.26203, 17.05757]"
Namagiripettai,"[78.26897, 11.45629]"
Namakkal,"[78.1667, 11.2333]"
Nandagada,"[77.90178,13.2033194]"
Nandigama,"[80.28594, 16.77251]"
Nandikotkur,"[78.26459, 15.85559]"
Nandyal,"[78.48, 15.48]"
Nanjangud,"[76.68,12.12]"
Narasannapet,"[84.04593, 18.41636]"
Narasaraopet,"[80.07, 16.25]"
Narayanpet,"[77.5, 16.73]"
Nargunda,"[75.38,15.72]"
Narsapur,"[81.6833, 16.4333]"
Narsapuram,"[82.98422, 17.80146]"
Narsipatnam,"[82.6140, 17.6650]"
Nelakondapally,"[80.05060, 17.1]"
Nellore,"[79.98646, 14.44260]"
Neredcherla,"[77.90746, 15.20640]"
Nidamanoor,"[79.3528, 16.8728]"
Nirmal,"[78.35, 19.1]"
Nizamabad,"[78.09409, 18.67250]"
Nuzvid,"[80.85, 16.78]"
Ongole,"[80.04992, 15.50572]"
