Market Center,Commodity,State,Loc,Year,Month,Unit of Arrivals,Variety,Minimum Price,Maximum Price,Modal Price,Unit of Price
Achanta,Paddy(Dhan),Andhra Pradesh,"[81.8116, 16.5984]",2012,February,Tonnes,Other,1080,1100,1090,Rs/Quintal
Addanki,Paddy(Dhan),Andhra Pradesh,"[79.9833, 15.8167]",2012,February,Tonnes,B P T,1350,1400,1380,Rs/Quintal
Addanki,Rice,Andhra Pradesh,"[79.9833, 15.8167]",2012,February,Tonnes,B P T,2450,2500,2470,Rs/Quintal
Addanki,Bengal Grams(Gram),Andhra Pradesh,"[79.9833, 15.8167]",2012,February,Tonnes,Gulabi,3400,3500,3450,Rs/Quintal
Addanki,Black Grams (Urd Beans),Andhra Pradesh,"[79.9833, 15.8167]",2012,February,Tonnes,Local,3600,3700,3650,Rs/Quintal
Addanki,Green Grams (Moong),Andhra Pradesh,"[79.9833, 15.8167]",2012,February,Tonnes,Medium,3700,3800,3750,Rs/Quintal
Addanki,Red Grams,Andhra Pradesh,"[79.9833, 15.8167]",2012,February,Tonnes,Local,3250,3350,3300,Rs/Quintal
Adoni,Sunflower Seed,Andhra Pradesh,"[77.28, 15.63]",2012,February,Tonnes,Sunflower Seed,2540,2639,2600,Rs/Quintal
Adoni,Cotton,Andhra Pradesh,"[77.28, 15.63]",2012,February,Tonnes,Kapas (Adoni),3400,4089,3850,Rs/Quintal
Akiveedu,Paddy(Dhan),Andhra Pradesh,"[81.383, 16.6]",2011,February,Tonnes,MTU-1010,950,1060,1030,Rs/Quintal
Akiveedu,Paddy(Dhan),Andhra Pradesh,"[81.383, 16.6]",2012,February,Tonnes,Paddy,1110,1130,1120,Rs/Quintal
Akiveedu,Chilli Red,Andhra Pradesh,"[81.383, 16.6]",2012,February,Tonnes,Coconut,3000,3200,3100,Rs/Quintal
Alamuru,Paddy(Dhan),Andhra Pradesh,"[81.9, 16.7833]",2012,February,Tonnes,Paddy,1080,1100,1080,Rs/Quintal
Allagadda,Paddy(Dhan),Andhra Pradesh,"[78.2824, 15.0735]",2012,February,Tonnes,Sona,1000,1200,1100,Rs/Quintal
Allagadda,Rice,Andhra Pradesh,"[78.2824, 15.0735]",2012,February,Tonnes,Boiled Rice,2400,2600,2500,Rs/Quintal
Allagadda,Bengal Grams(Gram),Andhra Pradesh,"[78.2824, 15.0735]",2012,February,Tonnes,Other,3200,3400,3300,Rs/Quintal
Allagadda,Red Grams,Andhra Pradesh,"[78.2824, 15.0735]",2012,February,Tonnes,Other,3200,3400,3300,Rs/Quintal
Allagadda,Groundnut,Andhra Pradesh,"[78.2824, 15.0735]",2012,February,Tonnes,Other,3200,3400,3300,Rs/Quintal
